1;Anger;A minha irmã chama-se Alice. A Alice brinca comigo na sala. Hoje, quando estávamos a brincar, a Alice tirou a minha bóla. Detesto quando a Alice faz isso, por isso fiquei muito irritado. 
2;Anger;Na sala de aula, eu gosto de brincar com os meus blocos. A minha irmã Alice senta-se ao meu lado todos os dias. A Alice derrubou os meus blocos, de propósito. Fiquei muito chateado. 
3;Anger;Todos os dias faço jogos com os meus amigos na sala de aula. Gosto muito de fazer quebra-cabeças, mas quando perco uma peça, não posso acabar o quebra-cabeças e isso deixa-me muito irritado. 
4;Fear;No final do jantar vou para o meu quarto. Quando estou deitado na cama preparado para dormir, a minha mãe apaga a luz. Então, vejo as sombras na parede, não consigo adormecer e fico assustado. 
5;Fear;Ao domingo vou passear com os meus pais. Quando está bom tempo, vamos ao parque e brincamos muito. Um dia, enquanto estava a jogar à bóla, fui para longe e quando voltei não vi mais os meus pais. Estava muito assustado. 
6;Fear;Eu vou com a minha mãe às compras. Gosto de escolher os iógurtes que vou comer. Hoje, à saída do supermercado, um cão muito grande começou a ladrar muito alto. Fiquei a tremer. 
7;Joy;Todos os dias de manhã vou para a escola. Gosto de brincar com os meus amigos e amigas. A minha professora disse que eu fiz um bom trabalho. Que bom é poder fazer o que gostamos. 
8;Joy;Hoje fui passear e jogar à bóla com os meus amigos da escola. Jogar à bóla é muito divertido e faz-me sorrir. Eu sorrio quando faço atividades de que gosto, e isso faz-me feliz. 
9;Joy;Na minha escóla, existem muitos computadores. Por vezes, outra criança está a usar o computador e eu tenho que esperar. É tão bom quando é a minha vez de usar o computador. 
10;Sadness;Quando estava a brincar na hora do recreio, enquanto corria, caí no chão. O meu braço e a minha perna estavam a doer muito. Tinha um grande arranhão, e eu não conseguia parar de chorar. 
11;Sadness;Gosto de brincar quando estou em casa. Hoje peguei na minha bóla, e brinquei com a bóla na sala. Dei um chuto muito forte e parti uma janela. A minha mãe pôs-me de castigo e eu chorei. 
12;Sadness;O meu amigo chama-se João. O João hoje não veio à escola. Perguntei à minha professora pelo João, e a professora disse que o João está doente. Nesse dia, tive que brincar sozinho. 
13;Surprise;"Todos os dias, vou para a escola. Um dia, quando entrei para a sala de aula, todos gritaram ""Parabéns Zeca!"", pois era o meu dia de anos. Fiquei tão espantado. "
14;Surprise;Um dia, fizemos um jogo interessante na sala de aula. Durante o jogo, a minha irmã Alice bateu-me no braço. Mas logo a seguir, a Alice pediu-me desculpa e eu fiquei muito admirado. 
15;Surprise;Adoro do Natal. E gosto muito quando eu e a minha irmã Alice abrimos os nossos presentes de Natal. Quando abri o presente grande quando vi que recebi o brinquedo que queria fiquei muito espantado. 
